nohhold,nomem,psy1,psy2,inkhh,inknorm,inkrond,finsitu,inkeven,inkaank,inksec,loan1,loan2,loan3,ink25a,ink25b,ink25c,ecsit,zinvol,opzij,hoevopzy,opzij12,spaarm01,spaarm02,spaarm03,spaarm04,spaarm05,spaarm06,spaarm07,spaarm08,spaarm09,spaarm10,spaarm11,spaarm12,spaarm13,spaarm14,spaarm15,spaarm16,stig01,stig02,stig03,stig04,stig05,stig06,stig07,stig08,stig09,stig10,stig11,stig12,stig13,stig14,stig15,stig16,stig17,stig18,stig19,stig20,stig21,situat1,situat2,situat3,situat4,situat5,situat6,situat7,spaar1,spaar2,spaar3,spaar4,spaar5,spaar6,beschryf,toek01,toek02,toek03,toek04,toek05,toek06,toek07,toek08,toek09,toek10,toek11,toek12,uitgeven,control,plannen,periode1,bijhoud,potjes,pin1,pin2,chip1,chip2,autom,foon,intern,zon,her1,her2,her3,her4,baby,plan,uitspr,hhrela,beslis,geldh,geluk,kenltd,kenhh,kenink,kenopl,kenwerk,manuur,vrouwuur,kunde,advies,con01,con02,con03,con04,con05,con06,con07,con08,con09,con10,locus01,locus02,locus03,locus04,locus05,locus06,locus07,locus08,locus09,locus10,locus11,locus12,locus13,work01,work02,work03,work04,work05,work06,work07,work08,work09,jeugd1,jeugd2,jeugd3,jeugd4,jeugd5,jeugd6
6,1,1,1,4,2,4,4,3, , ,2,1,2,4,2, ,3,3,1,3,2,1,1,5,5,4,2,3,6,1,6,4,2,1,7,6,5,5,3,1,5,3,1,1,6,2,7,5,7,4,1,7,5,2,1,6,4,5,5,4,4,4,4,4,5,7,4,1,7,2,2,-7,2,5,3,2,2,5,5,3,4,3,2,3,5,4,1,3,2,1,1,3,2, ,-9,2,4,95,65,45,10,100,2, , ,1,3,1,2,8,3,8,6,4,40,32,1,8,4,1,3,1,5,5,1,4,2,5,2,4,5,3,6,6,6,2,3,3,2,4,2,7,7,6,7,7,2,4,7,7,3,4,2,4,4,1
6,2,1,1,4,2,3,3,2, , ,2,2,2,3,2, ,3,1,1,1,2,1,1,4,6,4,1,4,6,1,6,4,1,1,7,6,4,4,1,4,5,4,2,1,6,1,6,2,7,4,3,6,6,7,4,4,4,4,4,4,5,3,4,3,5,7,7,1,7,4,1,-7,1,1,7,6,6,1,4,2,6,6,6,6,2, ,4,1,1,1,1,4,2, ,-9,3,-9,50,40,10,0,100,2, , ,3,4,1,3,9,2,-9,6,4,40,10,1,6,4,2,5,2,4,4,2,4,4,2,4,1,4,4,7,5,4,4,5,4,2,4,3, , , , , , , , , ,3,5,1,3,3,2
21,1,1,1,6,2,3,2,1,1,2,2,2,2,3,2, ,4,4,2, ,3,1,2,5,4,1,1,1,6,1,5,5,1,1,3,3,4,3,1,2,1,7,1,5,4,7,3,2,4,6,5,2,1,6,4,2,7,7,4,2,4,5,6,3,7,1,4,6,6,6,6,-7,2,1,7,6,6,1,2,1,7,7,7,6,2, ,5,1,1,1,1,3,1,1,2,2,-9,95,100,0,0,100,1,1,3,1,5,1,1,10,2,8,6,4,36,20,3,1,1,3,1,4,3,4,1,2,1,3,6,5,6,7,6,5,7,2,4,6,5,6,5, , , , , , , , , ,3,4,3,2,4,4
21,2,1,1,6,2,3,2,1,1,2,2,2,2,3,2, ,3,3,2, ,3,1,2,4,4,1,1,1,4,1,4,3,1,1,4,2,4,1,1,6,1,7,1,1,3,6,2,1,5,6,5,2,4,7,6,1,6,7,4,1,5,4,3,2,7,6,6,2,5,2,2,-7,1,1,7,7,4,1,2,1,1,7,7,7,2, ,6,1,1,2,1,3,1,1,2,2,-9,99,25,0,0,25,1,1,3,2,1,1,2,10,2,8,6,5,32,20,1,1,4,1,2,1,4,5,2,4,1,4,6,1,5,7,6,6,6,5,4,6,7,6,6,7,7,6,7,6,1,2,6,3,4,5,1,4,4,4
38,1,1,1,5,3,5,5,3, , ,2,1,2,5,2, ,3,1,1,2,1,5,5,3,5,5,2,6,6,6,5,5,1,6,5,4,4,5,3,2,6,5,2,3,6,2,5,6,6,5,2,4,6,3,1,2,5,3,4,3,3,4,4,3,3,6,3,3,5,3,4,2,4,4,3,5,4,5,4,5,3,4,3,4,5,6,2,2,1,1,1,1,1,1,3,3,5,90,100,100,5,100,1,2,2,1,4,1,1,10,3,10,6,1,30,0,2,3,3,3,2,4,3,4,3,3,2,3,5,3,4,2,5,4,5,4,4,4,3,4,3, , , , , , , , , ,4,5,1,4,3,3
38,2,1,1,5,3,5,5,3, , ,-7,1,2,5,2, ,4,1,1,2,1,6,6,4,5,6,3,6,5,6,5,6,1,6,6,5,6,6,4,2,6,5,3,3,6,2,5,4,5,4,2,5,1,3,1,6,4,3,4,4,3,4,4,4,4,5,5,3,5,4,3,2,4,4,4,4,4,4,4,4,4,4,4,4,6,5,2,1,4,3,1,1,1,1,3,2,2,50,100,100,25,100,1,2,2,1,1,1,1,11,3,10,6,1,10,0,1,1,4,2,4,2,4,4,2,3,1,5,4,3,5,3,4,5,3,3,4,4,4,4,3, , , , , , , , , ,4,5,1,4,3,2
106,1,1,1,3,1,1,2,2, , ,-7,3,2,4,2, ,-9,1,2, ,1,2,3,6,6,6,3,4,6,2,6,6,2,4,6,6,6,6,5,1,6,4,4,4,6,1,6,4,6,6,1,6,6,1,1,3,3,4,4,4,4,4,4,4,4,6,6,1,7,1,1,-7,6,4,5,5,5,4,6,5,1,4,4,5,6, ,4,2,5,2,1,2,2, ,-9,4,5,95,0,0,0,0,1,-9,3,1,3,1,2,7,4,-9,4,4,40,0,2,6,3,3,1,4,5,5,1,3,1,5,6,2,4,2,5,5,4,4,4,4,4,4,4,7,6,6,6,5,4,3,7,6,2,2,4,2,2,4
106,2,1,1,3,2,3,4,2, , ,-7,2,2,4,2, ,3,1,2, ,1,5,6,6,4,6,4,4,6,4,7,5,2,3,6,7,6,7,5,4,6,6,5,4,5,3,6,7,6,2,1,7,7,1,1,7,6,3,4,4,4,4,4,4,3,1,7,1,7,1,1,-7,6,1,5,5,4,4,4,5,3,4,5,5,7, ,1,1,5,2,1,3,2, ,2,4,4,50,0,0,0,0,1,1,3,1,3,1,1,6,4,-9,5,4,38,32,1,6,5,1,5,1,3,2,1,4,1,5,5,5,3,6,6,6,6,2,7,5,2,1,1, , , , , , , , , ,1,5,2,4,1,1
116,1,1,1,5,2,4,4,1,1,2,-7,1,2,3,2, ,3,1,1,3,1,1,1,6,7,6,6,4,6,1,7,5,1,1,7,7,7,7,5,1,7,4,1,1,6,2,7,7,7,7,1,7,7,5,2,7,7,3,7,4,4,6,5,6,6,7,7,1,7,7,4,-7,6,4,4,4,6,5,7,5,5,5,6,6,6, ,2,4,2,1,1,1,2, ,2,2,2,100,100,100,0,100,2, , ,1,3,1,2,9,2,-9,2,4,36,32,2,9,2,3,2,2,3,4,2,2,4,3,3,3,4,1,6,5,4,4,4,6,2,6,2,7,7,6,7,4,2,4,7,4,1,4,3,2,1,1
116,2,1,1,5,-9,4,4,3, , ,-7,2,2,4,2, ,3,2,1,2,1,1,1,5,5,6,4,3,6,1,7,6,2,1,6,6,6,6,4,2,4,3,1,4,5,2,6,7,5,7,2,6,6,2,2,6,6,4,6,6,2,4,5,5,6,4,2,2,5,5,4,-7,3,3,5,3,5,2,4,3,3,5,5,5,6, ,2,4,3,1,1,3,1,1,-9,2,2,70,50,30,10,80,2, , ,1,3,1,2,9,2,-9,3,4,36,15,1,4,3,2,3,2,4,4,2,4,2,4,4,5,3,5,6,3,4,3,5,4,5,3,5, , , , , , , , , ,3,4,2,4,3,3
