nohhold,nomem,gebjaar,geslacht,positie,oplzon,oplmet,bezighei,aantalhh,aantalki,sted,regio,prov,woonvorm,account,kostwin,partner,woning
6,1,1956,1,1,6,6,1,2,0,5,5,31,2,0,1,1,1
6,2,1960,2,2,5,4,7,2,0,5,5,31,2,1,0,1,1
21,1,1942,1,1,4,4,8,2,0,4,1,28,2,1,1,1,1
21,2,1945,2,2,4,4,1,2,0,4,1,28,2,0,0,1,1
38,1,1928,1,1,5,5,8,2,0,3,4,23,2,1,1,1,1
38,2,1930,2,2,3,2,8,2,0,3,4,23,2,0,0,1,1
106,1,1963,1,1,6,6,1,4,2,5,5,30,3,1,1,1,1
106,2,1968,2,2,3,3,7,4,2,5,5,30,3,0,0,1,1
106,3,1998,2,5,2,8,6,4,2,5,5,30,3,0,0,1,1
106,4,2001,1,5,2,8,6,4,2,5,5,30,3,0,0,1,1
116,1,1950,1,1,6,6,1,2,0,3,3,22,2,0,1,1,1
116,2,1955,2,2,3,3,7,2,0,3,3,22,2,1,0,1,1
173,1,1965,1,1,5,5,1,1,0,3,4,24,1,1,1,0,1
175,1,1932,1,1,3,3,8,2,0,5,4,25,2,1,1,1,1
175,2,1934,2,2,2,2,7,2,0,5,4,25,2,0,0,1,1
184,1,1931,1,1,2,2,8,2,0,5,3,20,2,1,1,1,2
184,2,1932,2,2,3,2,7,2,0,5,3,20,2,0,0,1,2
185,1,1934,1,3,4,4,8,2,0,4,4,23,2,1,1,1,2
185,2,1935,2,1,4,1,8,2,0,4,4,23,2,0,0,1,2
254,1,1939,1,1,3,3,8,1,0,2,2,26,1,1,1,0,2
262,1,1933,2,2,2,2,7,2,0,2,1,28,2,0,0,1,1
262,2,1935,1,1,4,4,8,2,0,2,1,28,2,1,1,1,1
268,1,1945,1,1,5,5,8,2,0,3,4,25,2,0,1,1,1
268,2,1947,2,2,3,3,7,2,0,3,4,25,2,1,0,1,1
274,1,1941,2,2,2,2,7,2,0,2,2,27,2,0,0,1,1
274,2,1942,1,1,6,6,8,2,0,2,2,27,2,1,1,1,1
286,1,1928,1,1,4,3,8,1,0,2,5,31,1,1,1,0,2
296,1,1931,2,1,6,6,8,1,0,4,2,29,1,1,1,0,2
318,1,1946,1,1,2,2,8,2,0,3,2,27,2,1,1,1,2
318,2,1952,2,2,2,2,7,2,0,3,2,27,2,0,0,1,2
338,2,1947,2,1,3,3,7,1,0,1,1,28,1,1,1,0,2
339,1,1938,1,1,3,3,8,2,0,4,3,21,2,0,1,1,2
339,2,1939,2,2,6,6,8,2,0,4,3,21,2,1,0,1,2
349,1,1952,2,2,5,5,2,2,0,5,3,21,2,0,0,1,1
349,2,1952,1,1,7,7,3,2,0,5,3,21,2,1,1,1,1
357,1,1946,1,1,3,3,4,2,0,2,2,27,2,0,1,1,1
357,2,1951,2,2,3,3,1,2,0,2,2,27,2,1,0,1,1
365,1,1949,2,2,2,2,9,2,0,2,1,27,2,0,0,1,2
365,2,1950,1,1,3,2,9,2,0,2,1,27,2,1,1,1,2
371,1,1943,1,1,7,7,8,2,0,2,4,25,2,1,1,1,1
371,2,1949,2,2,5,5,1,2,0,2,4,25,2,0,0,1,1
375,1,1931,2,2,3,3,7,2,0,2,5,30,2,0,0,1,1
375,2,1931,1,1,3,3,8,2,0,2,5,30,2,1,1,1,1
378,1,1941,1,1,7,7,8,2,0,4,4,23,2,0,1,1,1
378,2,1942,2,2,3,3,8,2,0,4,4,23,2,1,0,1,1
391,1,1927,1,1,6,6,8,2,0,3,4,25,2,1,1,1,1
391,2,1930,2,2,3,3,7,2,0,3,4,25,2,0,0,1,1
403,1,1933,2,1,6,6,8,1,0,3,2,27,1,1,1,0,2
423,1,1962,1,2,5,5,1,4,2,3,5,30,3,1,0,1,1
423,2,1963,2,1,6,6,1,4,2,3,5,30,3,0,1,1,1
423,3,1994,1,5,4,2,6,4,2,3,5,30,3,0,0,1,1
423,4,1997,2,5,4,2,6,4,2,3,5,30,3,0,0,1,1
425,2,1964,2,3,4,4,7,5,3,2,4,23,3,1,0,1,1
425,3,1993,2,5,3,2,6,5,3,2,4,23,3,0,0,1,1
425,4,1996,2,5,3,2,6,5,3,2,4,23,3,0,0,1,1
425,5,1999,2,5,2,8,6,5,3,2,4,23,3,0,0,1,1
425,6,1964,1,1,5,5,1,5,3,2,4,23,3,0,1,1,1
434,1,1930,1,1,6,6,8,5,0,1,1,27,5,1,1,1,2
434,2,1934,2,2,2,2,8,5,0,1,1,27,5,0,0,1,2
434,3,1961,2,7,3,3,1,5,0,1,1,27,5,0,0,1,2
434,4,1992,1,7,3,2,6,5,0,1,1,27,5,0,0,1,2
434,5,1993,1,7,3,2,6,5,0,1,1,27,5,0,0,1,2
451,1,1957,1,1,5,5,1,1,0,1,1,27,1,1,1,0,2
461,1,1967,2,1,6,6,9,1,0,2,4,25,1,1,1,0,1
523,1,1948,1,1,3,3,8,2,0,3,3,21,2,1,1,1,1
523,2,1951,2,2,5,2,7,2,0,3,3,21,2,0,0,1,1
547,1,1954,1,1,7,6,9,4,2,2,4,25,3,1,1,1,2
547,2,1960,2,2,6,6,1,4,2,2,4,25,3,0,0,1,2
547,3,1988,1,5,6,4,6,4,2,2,4,25,3,0,0,1,2
