,household_index,member_index,gender,relationship,education,height,weight,health,irresponsible,accurate,ever-ready,disciplined,ordered,clumsy,detail-oriented
0,0,1,M,1,High,176.0,106.0,2.0,1.0,5.0,4.0,2.0,5.0,1.0,5.0
1,0,2,F,2,Middle,165.0,72.0,2.0,3.0,1.0,3.0,2.0,3.0,3.0,4.0
2,1,1,M,1,Middle,175.0,93.0,2.0,2.0,5.0,4.0,1.0,3.0,2.0,3.0
3,1,2,F,2,Middle,176.0,65.0,1.0,1.0,5.0,4.0,3.0,5.0,1.0,4.0
4,2,1,M,1,Middle,162.0,73.0,1.0,3.0,2.0,3.0,2.0,2.0,5.0,3.0
5,2,2,F,2,Low,166.0,75.0,2.0,2.0,4.0,3.0,4.0,5.0,1.0,4.0
6,3,1,M,1,Middle,182.0,89.0,2.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0
7,3,2,F,2,Middle,157.0,66.0,2.0,2.0,4.0,3.0,3.0,5.0,1.0,3.0
8,4,1,M,1,High,178.0,90.0,2.0,2.0,5.0,2.0,4.0,4.0,4.0,3.0
9,4,2,F,2,Middle,168.0,74.0,3.0,4.0,4.0,4.0,3.0,4.0,2.0,3.0
10,5,1,M,1,Middle,177.0,83.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0
11,5,2,F,2,Middle,170.0,67.0,3.0,2.0,4.0,3.0,4.0,2.0,2.0,4.0
12,6,1,M,1,Middle,193.0,90.0,1.0,5.0,5.0,4.0,3.0,3.0,4.0,4.0
13,6,2,F,2,Middle,173.0,96.0,2.0,2.0,3.0,4.0,3.0,3.0,1.0,4.0
14,7,1,M,1,Low,174.0,80.0,3.0,1.0,2.0,3.0,3.0,4.0,3.0,3.0
15,7,2,F,2,Low,164.0,72.0,3.0,2.0,4.0,4.0,4.0,5.0,1.0,2.0
16,8,1,F,2,Low,172.0,65.0,2.0,4.0,5.0,3.0,3.0,5.0,1.0,4.0
17,8,2,M,1,Middle,183.0,80.0,1.0,1.0,4.0,4.0,1.0,4.0,1.0,4.0
18,9,1,M,1,Middle,168.0,80.0,2.0,1.0,5.0,5.0,3.0,5.0,1.0,5.0
19,9,2,F,2,Middle,165.0,45.0,3.0,1.0,5.0,5.0,5.0,5.0,2.0,5.0
20,10,1,F,2,Middle,168.0,75.0,1.0,2.0,4.0,3.0,3.0,4.0,3.0,4.0
21,10,2,M,1,Middle,182.0,80.0,1.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0
22,11,1,M,1,High,176.0,83.0,1.0,1.0,5.0,5.0,4.0,5.0,1.0,4.0
23,11,2,F,2,Middle,176.0,90.0,2.0,1.0,5.0,3.0,2.0,1.0,1.0,5.0
24,12,1,F,2,Middle,178.0,68.0,2.0,2.0,4.0,4.0,2.0,4.0,1.0,4.0
25,12,2,M,1,Middle,190.0,86.0,1.0,1.0,5.0,5.0,1.0,3.0,1.0,2.0
26,13,1,M,1,Middle,166.0,75.0,3.0,1.0,4.0,4.0,3.0,4.0,1.0,4.0
27,13,2,F,2,Middle,164.0,65.0,3.0,2.0,4.0,3.0,3.0,4.0,2.0,3.0
28,14,1,M,1,High,180.0,70.0,4.0,1.0,4.0,3.0,3.0,4.0,2.0,4.0
29,14,2,F,2,Low,160.0,72.0,4.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0
30,15,1,M,1,High,184.0,94.0,5.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0
31,15,2,F,2,High,165.0,68.0,2.0,1.0,4.0,4.0,4.0,3.0,3.0,4.0
32,16,1,M,1,High,187.0,80.0,1.0,1.0,4.0,4.0,4.0,4.0,1.0,4.0
33,16,2,F,2,Middle,176.0,80.0,1.0,2.0,4.0,4.0,2.0,4.0,2.0,4.0
34,17,1,M,2,Middle,172.0,82.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0
35,17,2,F,1,High,162.0,90.0,2.0,1.0,4.0,4.0,1.0,3.0,3.0,4.0
36,18,1,F,2,High,172.0,84.0,2.0,1.0,5.0,5.0,5.0,5.0,1.0,4.0
37,18,2,M,1,High,192.0,93.0,2.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0
38,19,1,F,2,High,170.0,71.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,4.0
39,19,2,M,1,Middle,180.0,92.0,4.0,1.0,4.0,4.0,3.0,4.0,2.0,3.0
40,20,1,M,1,High,182.0,182.0,1.0,1.0,3.0,3.0,3.0,4.0,2.0,3.0
41,20,2,F,2,High,175.0,69.0,2.0,2.0,4.0,3.0,2.0,4.0,2.0,4.0
42,21,1,F,2,Middle,158.0,61.0,2.0,5.0,4.0,3.0,1.0,4.0,1.0,4.0
43,21,2,M,1,High,176.0,72.0,2.0,4.0,5.0,4.0,1.0,4.0,1.0,5.0
44,22,1,M,1,High,182.0,79.0,1.0,2.0,2.0,4.0,3.0,5.0,1.0,1.0
45,22,2,F,2,Middle,168.0,55.0,1.0,4.0,4.0,4.0,1.0,4.0,2.0,2.0
46,23,1,M,1,Middle,167.0,66.0,2.0,1.0,4.0,4.0,3.0,5.0,1.0,4.0
47,23,2,F,2,Middle,154.0,54.0,2.0,5.0,1.0,2.0,3.0,1.0,5.0,1.0
48,24,1,M,1,Low,185.0,92.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,4.0
49,24,2,F,2,Middle,170.0,67.0,2.0,1.0,4.0,3.0,4.0,4.0,1.0,4.0
50,25,1,M,1,High,168.0,70.0,2.0,1.0,4.0,4.0,3.0,5.0,1.0,3.0
51,25,2,F,2,High,170.0,60.0,2.0,1.0,5.0,4.0,3.0,5.0,2.0,3.0
52,26,1,M,1,High,175.0,85.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
53,26,2,F,2,Middle,165.0,60.0,3.0,3.0,1.0,2.0,3.0,2.0,5.0,1.0
54,27,1,M,1,Low,180.0,85.0,3.0,2.0,3.0,2.0,3.0,1.0,4.0,2.0
55,27,2,F,2,Middle,164.0,95.0,3.0,1.0,4.0,4.0,3.0,5.0,1.0,3.0
56,28,1,M,1,Low,172.0,65.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0
57,28,2,F,2,Middle,164.0,59.0,3.0,2.0,1.0,3.0,3.0,5.0,1.0,2.0
58,29,1,M,1,High,184.0,80.0,2.0,2.0,5.0,5.0,4.0,5.0,1.0,5.0
59,29,2,F,2,High,154.0,55.0,2.0,1.0,5.0,4.0,5.0,5.0,2.0,4.0
60,30,1,M,1,Middle,183.0,89.0,2.0,1.0,4.0,4.0,4.0,4.0,1.0,4.0
61,30,2,F,2,Middle,167.0,60.0,2.0,4.0,5.0,3.0,2.0,4.0,2.0,5.0
62,31,1,M,1,Middle,185.0,85.0,2.0,1.0,4.0,3.0,4.0,4.0,2.0,4.0
63,31,2,F,2,Middle,180.0,84.0,2.0,1.0,4.0,4.0,2.0,3.0,1.0,3.0
64,32,1,M,1,Middle,162.0,63.0,2.0,2.0,4.0,3.0,4.0,4.0,1.0,4.0
65,32,2,F,2,High,154.0,54.0,2.0,2.0,4.0,4.0,1.0,4.0,1.0,4.0
66,33,1,M,1,Middle,170.0,85.0,1.0,2.0,2.0,4.0,2.0,4.0,2.0,3.0
67,33,2,F,2,Middle,166.0,76.0,4.0,4.0,4.0,3.0,1.0,2.0,4.0,4.0
68,34,1,M,1,Middle,187.0,82.0,3.0,1.0,4.0,4.0,2.0,3.0,1.0,4.0
69,34,2,F,2,Middle,162.0,60.0,3.0,1.0,5.0,3.0,3.0,5.0,1.0,1.0
70,35,1,M,1,High,169.0,68.0,2.0,1.0,4.0,4.0,4.0,4.0,1.0,4.0
71,35,2,F,2,High,169.0,63.0,2.0,1.0,5.0,5.0,4.0,5.0,1.0,5.0
72,36,1,M,1,Low,178.0,85.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0
73,36,2,F,2,Low,168.0,100.0,2.0,4.0,4.0,3.0,2.0,3.0,2.0,4.0
74,37,1,M,1,Low,179.0,97.0,3.0,3.0,4.0,4.0,4.0,5.0,1.0,4.0
75,37,2,F,2,Low,156.0,61.0,2.0,2.0,5.0,4.0,1.0,3.0,2.0,3.0
76,38,1,F,2,Middle,164.0,75.0,2.0,1.0,3.0,4.0,2.0,3.0,1.0,3.0
77,38,2,M,1,Middle,176.0,68.0,2.0,2.0,4.0,5.0,3.0,5.0,1.0,4.0
78,39,1,M,1,Middle,165.0,80.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,2.0
79,39,2,F,2,Low,167.0,61.0,2.0,1.0,4.0,2.0,3.0,4.0,1.0,3.0
80,40,1,M,1,Middle,174.0,81.0,2.0,2.0,3.0,2.0,3.0,4.0,4.0,3.0
81,40,2,F,2,Middle,168.0,68.0,3.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0
82,41,1,M,1,Low,168.0,76.0,2.0,2.0,5.0,4.0,2.0,4.0,2.0,5.0
83,41,2,F,2,Low,160.0,58.0,3.0,1.0,4.0,3.0,1.0,4.0,2.0,3.0
84,42,1,M,1,Middle,172.0,80.0,3.0,2.0,4.0,3.0,3.0,4.0,2.0,3.0
85,42,2,F,2,Middle,168.0,62.0,2.0,2.0,4.0,3.0,3.0,4.0,2.0,4.0
86,43,1,F,2,Middle,168.0,76.0,2.0,1.0,5.0,4.0,1.0,5.0,2.0,2.0
87,43,2,M,1,High,176.0,76.0,2.0,1.0,3.0,4.0,3.0,4.0,1.0,3.0
88,44,1,M,1,Middle,178.0,90.0,2.0,1.0,4.0,4.0,4.0,5.0,3.0,4.0
89,44,2,F,2,Low,176.0,70.0,2.0,2.0,4.0,4.0,5.0,5.0,1.0,5.0
90,45,1,M,1,Middle,183.0,108.0,2.0,2.0,3.0,3.0,4.0,3.0,1.0,3.0
91,45,2,F,2,Middle,165.0,74.0,1.0,1.0,3.0,3.0,4.0,3.0,4.0,3.0
92,46,1,M,1,Middle,172.0,65.0,2.0,3.0,5.0,4.0,1.0,3.0,3.0,1.0
93,46,2,F,2,High,173.0,70.0,2.0,5.0,5.0,2.0,3.0,3.0,2.0,1.0
94,47,1,M,1,Middle,178.0,86.0,2.0,2.0,5.0,4.0,1.0,5.0,1.0,5.0
95,47,2,F,2,Middle,176.0,68.0,2.0,1.0,4.0,4.0,1.0,5.0,1.0,4.0
96,48,1,M,1,Middle,173.0,80.0,2.0,2.0,5.0,2.0,2.0,5.0,1.0,5.0
97,48,2,F,2,Middle,190.0,94.0,4.0,5.0,5.0,2.0,2.0,3.0,2.0,4.0
98,49,1,M,1,Middle,170.0,86.0,3.0,1.0,4.0,4.0,3.0,4.0,1.0,4.0
99,49,2,F,2,Middle,160.0,90.0,3.0,1.0,5.0,4.0,1.0,4.0,2.0,3.0
100,50,1,M,1,Middle,175.0,78.0,2.0,1.0,3.0,4.0,4.0,5.0,1.0,4.0
101,50,2,F,2,Middle,166.0,77.0,2.0,1.0,4.0,4.0,4.0,5.0,1.0,4.0
102,51,1,F,2,Middle,170.0,85.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0
103,51,2,M,1,Middle,185.0,95.0,4.0,2.0,3.0,4.0,3.0,2.0,2.0,2.0
104,52,1,M,1,High,186.0,85.0,3.0,2.0,4.0,3.0,2.0,4.0,1.0,3.0
105,52,2,F,2,Middle,155.0,85.0,2.0,4.0,5.0,2.0,1.0,5.0,3.0,3.0
106,53,1,M,1,Middle,186.0,94.0,4.0,3.0,5.0,4.0,5.0,4.0,1.0,4.0
107,53,2,F,2,Middle,168.0,80.0,3.0,1.0,1.0,3.0,3.0,5.0,5.0,3.0
108,54,1,M,1,Middle,181.0,77.0,3.0,3.0,4.0,3.0,2.0,4.0,1.0,4.0
109,54,2,F,2,Middle,170.0,80.0,2.0,2.0,2.0,3.0,4.0,5.0,2.0,1.0
110,55,1,M,1,Middle,170.0,169.0,2.0,2.0,4.0,3.0,3.0,5.0,2.0,4.0
111,55,2,F,2,Middle,178.0,95.0,3.0,2.0,4.0,3.0,2.0,4.0,2.0,3.0
112,56,1,M,1,Middle,172.0,88.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0
113,56,2,F,2,High,168.0,92.0,3.0,3.0,5.0,5.0,3.0,5.0,1.0,5.0
114,57,1,M,1,High,175.0,68.0,2.0,1.0,4.0,4.0,4.0,4.0,1.0,4.0
115,57,2,F,2,Low,176.0,80.0,2.0,3.0,5.0,4.0,5.0,5.0,1.0,4.0
116,58,1,M,1,Middle,186.0,89.0,3.0,3.0,5.0,3.0,3.0,5.0,2.0,4.0
117,58,2,F,2,Middle,168.0,55.0,3.0,2.0,5.0,4.0,5.0,5.0,1.0,5.0
118,59,1,M,1,Low,175.0,85.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0
119,59,2,F,2,Middle,162.0,80.0,2.0,1.0,5.0,3.0,3.0,5.0,1.0,5.0
120,60,1,M,1,Middle,178.0,90.0,3.0,3.0,4.0,3.0,4.0,4.0,2.0,4.0
121,60,2,F,2,Middle,165.0,58.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0
122,61,1,F,2,Low,159.0,55.0,2.0,1.0,5.0,3.0,1.0,5.0,1.0,3.0
123,61,2,M,1,High,178.0,82.0,1.0,3.0,4.0,4.0,1.0,5.0,1.0,4.0
124,62,1,M,1,Middle,185.0,100.0,1.0,2.0,4.0,4.0,1.0,4.0,2.0,4.0
125,62,2,F,2,Middle,165.0,65.0,1.0,2.0,5.0,3.0,1.0,4.0,2.0,5.0
126,63,1,F,2,Middle,168.0,70.0,3.0,1.0,4.0,4.0,2.0,4.0,1.0,4.0
127,63,2,M,1,Middle,182.0,80.0,1.0,1.0,4.0,3.0,1.0,3.0,1.0,4.0
128,64,1,M,1,High,172.0,75.0,4.0,4.0,4.0,3.0,2.0,4.0,2.0,4.0
129,64,2,F,2,Middle,169.0,63.0,3.0,1.0,3.0,3.0,1.0,4.0,1.0,3.0
130,65,1,M,1,High,180.0,68.0,2.0,1.0,4.0,4.0,3.0,4.0,1.0,4.0
131,65,2,F,2,High,173.0,73.0,2.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0
132,66,1,M,1,High,175.0,84.0,3.0,1.0,4.0,4.0,3.0,4.0,2.0,3.0
133,66,2,F,2,Low,170.0,86.0,2.0,4.0,5.0,4.0,4.0,5.0,1.0,5.0
134,67,1,M,1,Middle,191.0,110.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0
135,67,2,F,2,Middle,170.0,55.0,3.0,2.0,5.0,4.0,5.0,5.0,1.0,4.0
